,File_Name,Number of Keypoints detected,Result
0,025_F.png,2842,N
1,065_F.png,1685,N
2,105_F.png,1504,Y
3,145_F.png,1743,N
4,184_F.png,1401,Y
5,013_F.png,2608,Y
6,053_F.png,4219,Y
7,093_F.png,4219,N
8,133_F.png,2000,N
9,172_F.png,5874,N
10,023_F.png,1419,Y
11,063_F.png,4794,Y
12,103_F.png,3399,N
13,143_F.png,2002,N
14,182_F.png,1755,N
15,008_F.png,226,N
16,048_F.png,2491,Y
17,088_F.png,214,N
18,128_F.png,1625,N
19,167_F.png,2559,N
20,039_F.png,1796,Y
21,079_F.png,2446,N
22,119_F.png,1775,N
23,130_F.png,7199,N
24,198_F.png,618,N
25,029_O.png,7132,N
26,069_O.png,5886,N
27,109_O.png,2066,N
28,149_O.png,5486,N
29,188_O.png,2818,N
30,011_O.png,5138,N
31,051_O.png,1299,N
32,091_O.png,1880,N
33,131_O.png,1684,N
34,170_O.png,919,N
35,017_O.png,4344,N
36,057_O.png,4406,N
37,097_O.png,918,N
38,137_O.png,4214,N
39,176_O.png,4827,N
40,027_O.png,4827,N
41,067_O.png,1509,N
42,107_O.png,1638,N
43,147_O.png,4214,N
44,186_O.png,5886,N
45,026_O.png,1573,N
46,066_O.png,2414,N
47,106_O.png,5486,N
48,146_O.png,1266,N
49,185_O.png,7132,N
