Translation,Rotation,Scaling,Distortion,Combinations,
0,025_F.png,065_F.png,105_F.png,145_F.png,184_F.png,
1,013_F.png,053_F.png,093_F.png,133_F.png,172_F.png,
2,023_F.png,063_F.png,103_F.png,143_F.png,182_F.png,
3,008_F.png,048_F.png,088_F.png,128_F.png,167_F.png,
4,039_F.png,079_F.png,119_F.png,130_F.png,198_F.png,
5,029_O.png,069_O.png,109_O.png,149_O.png,188_O.png,
6,011_O.png,051_O.png,091_O.png,131_O.png,170_O.png,
7,017_O.png,057_O.png,097_O.png,137_O.png,176_O.png,
8,027_O.png,067_O.png,107_O.png,147_O.png,186_O.png,
9,026_O.png,066_O.png,106_O.png,146_O.png,185_O.png,
